"datasetID","site","species","propOcc"
232,"5pgrass_2","chin",0.1
232,"5pgrass_2","dime",0.2
232,"5pgrass_2","dior",0.8
232,"5pgrass_2","disp",1
232,"5pgrass_2","nemi",0.2
232,"5pgrass_2","onar",0.8
232,"5pgrass_2","pele",0.1
232,"5pgrass_2","pgfv",1
232,"5pgrass_2","remg",0.1
232,"5pgrass_2","remn",0.1
232,"5pgrass_2","spsp",0.6
232,"5pgrass_2","pebo",0.2
232,"5pgrass_2","petr",0.4
232,"5pgrass_3","dime",0.153846153846154
232,"5pgrass_3","dior",0.923076923076923
232,"5pgrass_3","disp",0.923076923076923
232,"5pgrass_3","neal",0.0769230769230769
232,"5pgrass_3","nemi",0.0769230769230769
232,"5pgrass_3","onar",0.769230769230769
232,"5pgrass_3","pele",0.0769230769230769
232,"5pgrass_3","pgfv",1
232,"5pgrass_3","remg",0.230769230769231
232,"5pgrass_3","remn",0.153846153846154
232,"5pgrass_3","spsp",0.615384615384615
232,"5pgrass_3","pebo",0.153846153846154
232,"5pgrass_3","petr",0.0769230769230769
232,"5pgrass_5","dime",0.111111111111111
232,"5pgrass_5","dior",1
232,"5pgrass_5","disp",0.888888888888889
232,"5pgrass_5","neal",0.222222222222222
232,"5pgrass_5","nemi",0.555555555555556
232,"5pgrass_5","onar",0.777777777777778
232,"5pgrass_5","pele",0.333333333333333
232,"5pgrass_5","pgfv",1
232,"5pgrass_5","remg",0.111111111111111
232,"5pgrass_5","remn",0.111111111111111
232,"5pgrass_5","spsp",0.444444444444444
232,"5pgrass_5","pebo",0.333333333333333
232,"5pgrass_5","petr",0.111111111111111
232,"5plarrea_1","chin",0.15
232,"5plarrea_1","dime",1
232,"5plarrea_1","dior",0.4
232,"5plarrea_1","disp",1
232,"5plarrea_1","neal",0.3
232,"5plarrea_1","nemi",0.1
232,"5plarrea_1","onar",0.9
232,"5plarrea_1","peer",0.65
232,"5plarrea_1","pele",0.35
232,"5plarrea_1","pgfv",0.9
232,"5plarrea_1","remg",0.25
232,"5plarrea_1","spsp",0.1
232,"5plarrea_1","petr",0.1
232,"5plarrea_3","chin",0.0526315789473684
232,"5plarrea_3","dime",1
232,"5plarrea_3","dior",0.315789473684211
232,"5plarrea_3","disp",0.894736842105263
232,"5plarrea_3","neal",0.263157894736842
232,"5plarrea_3","nemi",0.157894736842105
232,"5plarrea_3","onar",0.789473684210526
232,"5plarrea_3","onle",0.105263157894737
232,"5plarrea_3","peer",0.631578947368421
232,"5plarrea_3","pele",0.210526315789474
232,"5plarrea_3","pema",0.0526315789473684
232,"5plarrea_3","pgfv",1
232,"5plarrea_3","remg",0.157894736842105
232,"5plarrea_3","spsp",0.263157894736842
232,"5plarrea_3","pedi",0.0526315789473684
232,"5plarrea_3","petr",0.105263157894737
232,"5plarrea_5","dime",1
232,"5plarrea_5","dior",0.55
232,"5plarrea_5","disp",1
232,"5plarrea_5","neal",0.45
232,"5plarrea_5","nemi",0.5
232,"5plarrea_5","onar",0.85
232,"5plarrea_5","onle",0.1
232,"5plarrea_5","peer",0.5
232,"5plarrea_5","pele",0.15
232,"5plarrea_5","pgfv",0.95
232,"5plarrea_5","remg",0.25
232,"5plarrea_5","remn",0.05
232,"5plarrea_5","spsp",0.4
232,"5plarrea_5","petr",0.05
232,"goatdraw_1","amin",0.333333333333333
232,"goatdraw_1","disp",0.333333333333333
232,"goatdraw_1","euqu",0.666666666666667
232,"goatdraw_1","neal",0.666666666666667
232,"goatdraw_1","pele",0.333333333333333
232,"goatdraw_1","pgfv",0.666666666666667
232,"goatdraw_1","pebo",1
232,"goatdraw_1","pedi",0.666666666666667
232,"goatdraw_1","petr",1
232,"goatdraw_3","chin",0.333333333333333
232,"goatdraw_3","euqu",0.333333333333333
232,"goatdraw_3","neal",1
232,"goatdraw_3","pele",0.333333333333333
232,"goatdraw_3","pgfv",1
232,"goatdraw_3","pebo",1
232,"goatdraw_3","pedi",0.333333333333333
232,"goatdraw_3","petr",1
232,"goatdraw_5","euqu",0.333333333333333
232,"goatdraw_5","neal",1
232,"goatdraw_5","onar",0.333333333333333
232,"goatdraw_5","pele",0.333333333333333
232,"goatdraw_5","pgfv",0.333333333333333
232,"goatdraw_5","pebo",0.666666666666667
232,"goatdraw_5","pedi",0.333333333333333
232,"goatdraw_5","petr",1
232,"rsgrass_1","chin",0.111111111111111
232,"rsgrass_1","dime",1
232,"rsgrass_1","dior",1
232,"rsgrass_1","disp",0.555555555555556
232,"rsgrass_1","neal",0.888888888888889
232,"rsgrass_1","onar",0.555555555555556
232,"rsgrass_1","onle",0.444444444444444
232,"rsgrass_1","peer",0.111111111111111
232,"rsgrass_1","pele",0.777777777777778
232,"rsgrass_1","pema",0.222222222222222
232,"rsgrass_1","pgfl",1
232,"rsgrass_1","pgfv",0.666666666666667
232,"rsgrass_1","remg",0.555555555555556
232,"rsgrass_1","spsp",0.777777777777778
232,"rsgrass_1","petr",0.666666666666667
232,"rsgrass_4","amle",0.125
232,"rsgrass_4","dime",1
232,"rsgrass_4","dior",1
232,"rsgrass_4","neal",1
232,"rsgrass_4","onar",0.5
232,"rsgrass_4","onle",1
232,"rsgrass_4","pele",0.75
232,"rsgrass_4","pema",0.125
232,"rsgrass_4","pgfl",1
232,"rsgrass_4","pgfv",0.25
232,"rsgrass_4","remg",0.5
232,"rsgrass_4","spsp",0.125
232,"rsgrass_4","petr",0.25
232,"rsgrass_5","dime",1
232,"rsgrass_5","dior",1
232,"rsgrass_5","neal",1
232,"rsgrass_5","onar",0.428571428571429
232,"rsgrass_5","onle",0.857142857142857
232,"rsgrass_5","pele",0.857142857142857
232,"rsgrass_5","pema",0.142857142857143
232,"rsgrass_5","pgfl",0.857142857142857
232,"rsgrass_5","pgfv",0.571428571428571
232,"rsgrass_5","remg",0.571428571428571
232,"rsgrass_5","spsp",0.285714285714286
232,"rsgrass_5","petr",0.571428571428571
232,"rslarrea_2","amle",0.05
232,"rslarrea_2","chin",0.05
232,"rslarrea_2","dime",1
232,"rslarrea_2","dior",0.65
232,"rslarrea_2","disp",0.7
232,"rslarrea_2","neal",0.7
232,"rslarrea_2","nemi",0.15
232,"rslarrea_2","onar",0.45
232,"rslarrea_2","onle",0.65
232,"rslarrea_2","peer",0.1
232,"rslarrea_2","pele",0.5
232,"rslarrea_2","pgfl",0.55
232,"rslarrea_2","pgfv",0.75
232,"rslarrea_2","remg",0.5
232,"rslarrea_2","remn",0.05
232,"rslarrea_2","spsp",0.05
232,"rslarrea_2","pebo",0.2
232,"rslarrea_2","pedi",0.05
232,"rslarrea_2","petr",0.8
232,"rslarrea_4","chin",0.133333333333333
232,"rslarrea_4","dime",1
232,"rslarrea_4","dior",0.466666666666667
232,"rslarrea_4","disp",0.133333333333333
232,"rslarrea_4","neal",0.733333333333333
232,"rslarrea_4","nemi",0.133333333333333
232,"rslarrea_4","onar",0.533333333333333
232,"rslarrea_4","onle",0.666666666666667
232,"rslarrea_4","peer",0.0666666666666667
232,"rslarrea_4","pele",0.6
232,"rslarrea_4","pema",0.0666666666666667
232,"rslarrea_4","pgfl",0.466666666666667
232,"rslarrea_4","pgfv",0.933333333333333
232,"rslarrea_4","remg",0.466666666666667
232,"rslarrea_4","remn",0.2
232,"rslarrea_4","sihi",0.0666666666666667
232,"rslarrea_4","spsp",0.266666666666667
232,"rslarrea_4","pebo",0.0666666666666667
232,"rslarrea_4","petr",0.133333333333333
232,"rslarrea_5","dime",1
232,"rslarrea_5","dior",0.25
232,"rslarrea_5","neal",0.5
232,"rslarrea_5","nemi",0.166666666666667
232,"rslarrea_5","onar",0.666666666666667
232,"rslarrea_5","onle",0.666666666666667
232,"rslarrea_5","peer",0.0833333333333333
232,"rslarrea_5","pele",0.5
232,"rslarrea_5","pgfl",0.333333333333333
232,"rslarrea_5","pgfv",0.916666666666667
232,"rslarrea_5","remg",0.25
232,"rslarrea_5","remn",0.25
232,"rslarrea_5","spsp",0.25
232,"rslarrea_5","petr",0.166666666666667
232,"two22_1","chin",1
232,"two22_1","dime",1
232,"two22_1","dior",0.285714285714286
232,"two22_1","eudo",0.571428571428571
232,"two22_1","neal",1
232,"two22_1","nemi",0.428571428571429
232,"two22_1","onar",0.428571428571429
232,"two22_1","onle",0.142857142857143
232,"two22_1","pele",0.428571428571429
232,"two22_1","pema",0.142857142857143
232,"two22_1","pgfv",1
232,"two22_1","pebo",0.571428571428571
232,"two22_1","pedi",0.142857142857143
232,"two22_1","petr",0.714285714285714
232,"two22_4","chin",1
232,"two22_4","dime",1
232,"two22_4","eudo",0.5
232,"two22_4","neal",0.75
232,"two22_4","pele",0.5
232,"two22_4","pgfv",1
232,"two22_4","pebo",0.75
232,"two22_4","petr",0.25
232,"two22_5","chin",0.5
232,"two22_5","dime",1
232,"two22_5","eudo",0.5
232,"two22_5","neal",1
232,"two22_5","nemi",0.5
232,"two22_5","onar",0.25
232,"two22_5","pele",0.5
232,"two22_5","pgfv",1
232,"two22_5","pebo",0.5
232,"two22_5","pedi",0.25
232,"two22_5","petr",0.5
